Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
"Senior Centers, Programs, and Service Enhancements",,"Lifestyles for the Disabled, Inc.",133740011,,5000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,"Seniors Helping Seniors, Inc.",133111915,*,62830,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,Young Men's Christian Association of Greater New York,131624228,,60000,DFTA,Glebe Senior Center,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,"GRIOT Circle, Inc.",113364328,,20000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,"Sephardic Community Youth Center, Inc.",112567809,,50000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,"Jewish Community Council of Greater Coney Island, Inc.",112665181,,50000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
LGBT Senior Services,,"Queens Community House, Inc. ",112375583,,300000,DFTA,,,,,,,This action will ensure that LGBT seniors will have access to full services SAGE sites to address the needs of this population. ,,
Jobs to Build On,,Consortium for Worker Education (CWE),133564313,,4845000,DSBS,,,,,,,"This initiative is to recruit and transition low-skilled, long-term unemployed and under-employed individuals, prepare them for entry union and non-union jobs, attain credentials enabling them to meet general employer standards, and place participants in real job and career prospects at a living wage.",,
Industrial Business Solutions Providers (IBSP),,South Bronx Overall Economic Development Corporation,132736022,,118300,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,"Business Outreach Center Network, Inc.",113306111,,80285,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,East Williamsburg Valley Industrial Development Corporation,112647339,,113159,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,Southwest Brooklyn Industrial Development Corporation,112508370,,117406,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,"Business Outreach Center Network, Inc.",113306111,,71644,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,Greater Jamaica Development Corporation,237021273,,118301,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Industrial Business Solutions Providers (IBSP),,Staten Island Economic Development Corporation,133706442,,66597,DSBS,,,,,,,Provide financial and technical assistance to manufacturing firms and help firms become efficient in their workspace and help them stay in New York City.  ,,
Citywide Civil Legal Services,,"New York Legal Assistance Group, Inc.",133505428,,750000,DSS/HRA,,7 Hanover Square 18th Fl,,New York,NY,10004,"This appropriation will be utilized to augment overall citywide civil legal services programs. These services may include, but are not limited to: direct client representation, including representation in class action cases; the provision of legal advice; community legal education presentations; pro-bono/volunteer lawyer programs; and hotline and other telephone-based legal services. Legal areas in which services may be provided include, but are not limited to: consumer/finance; education; employment; family; juvenile; health; housing; income maintenance; individual rights; and miscellaneous benefits. ",,
Citywide Civil Legal Services,,Legal Aid Society ,135562265,,750000,DSS/HRA,,,,,,,"This appropriation will be utilized to augment overall citywide civil legal services programs. These services may include, but are not limited to: direct client representation, including representation in class action cases; the provision of legal advice; community legal education presentations; pro-bono/volunteer lawyer programs; and hotline and other telephone-based legal services. Legal areas in which services may be provided include, but are not limited to: consumer/finance; education; employment; family; juvenile; health; housing; income maintenance; individual rights; and miscellaneous benefits. ",,
Citywide Civil Legal Services,,Legal Services NYC ,132600199,,750000,DSS/HRA,,,,,,,"This appropriation will be utilized to augment overall citywide civil legal services programs. These services may include, but are not limited to: direct client representation, including representation in class action cases; the provision of legal advice; community legal education presentations; pro-bono/volunteer lawyer programs; and hotline and other telephone-based legal services. Legal areas in which services may be provided include, but are not limited to: consumer/finance; education; employment; family; juvenile; health; housing; income maintenance; individual rights; and miscellaneous benefits. ",,
Children Under Five,,Albert Einstein College of Medicine of Yeshiva University,131624225,,"$25,000.00 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"Child Center of New York, Inc., The",111733454,,"$17,692.31 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"Jewish Board of Family and Children's Services, Inc. (aka Pride of Judea)",135564937,,"$25,000.00 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"OHEL Children's Home and Family Services, Inc.",116078704,,"$15,384.62 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"Safe Horizon, Inc.",132946970,,"$15,384.62 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"Safe Space, Inc.",111711014,,"$30,769.23 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,"Staten Island Mental Health Society, Inc.",135623279,,"$40,000.00 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
Children Under Five,,University Settlement Society of New York,135562374,,"$30,769.23 ",DOHMH,,,,,,,"Enhancement of $200,000 to programs providing mental health services to children under the age of five.",,
NYC Cleanup Initiative,Arroyo,"Doe Fund, Inc., The",133412540,,"$68,627 ",DYCD,,233 East 84th Street ,,New York ,NY ,10029,"Funds will be used for community improvement, which include sweeping, bagging and removal of litter, removal of graffiti, watering and cleaning of tree beds, shoveling snow and power washing sidewalks within various locations in District 17.  Locations to be determined through consultation with local community boards.  ",,
NYC Cleanup Initiative,Cabrera,"Doe Fund, Inc., The",133412540,,"$13,627 ",DYCD,,232 E. 84th Street, ,New York,NY,10028,Funds will be used to pay two dedicated staff members  to provide graffiti removal services for district 14.,,
NYC Cleanup Initiative,Cabrera,"Doe Fund, Inc., The",133412540,,"$55,000 ",DYCD,,232 E. 84th Street, ,New York,NY,10028,"Funds will be used to pay two dedicated staff members  to provide street sweeping, power washing, emptying litter baskets and replacing basket liners for a 10-15-block stretch 5 days a week in district 14.",,
