Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Youth,Williams,"Council on the Environment of New York City, Inc. D/B/A GrowNYC",132765465,,"$5,000",DYCD,,51 Chambers Street,Room 228,New York,NY,10007,"To support GrowNYC’s Healthy Kids, Healthy Schools program, teaching proper nutrition, gardening and creating a farmers' market, recycling, and cooking.  ",,
Out of School Time Restoration,,"Inwood Community Services, Inc.",133087407,,"$300,000",DYCD,P.S. 189,2580 AMSTERDAM AVENUE,,New York,NY,10040,,,
Out of School Time Restoration,,Department of Youth and Community Development,136400434,,$0,DYCD,,,,,,,,,
Out of School Time Restoration,,Roads to Success,113599459,,"$10,000",DYCD,PS 191,210 West 61st Street,,New York,NY,10023,,,
Out of School Time Restoration,,"University Settlement Society of New York, Inc",135562374,,"$160,000",DYCD,P.S. 19,,,,,,,,
Out of School Time Restoration,,Henry Street Settlement,131562242,,"$40,000",DYCD,Boys and Girls Republic,888 East 6th Street,,New York,NY,10009,,,
Cultural After School Adventure,Arroyo,"Striking Viking Story Pirates, Inc.",020720786,,"$20,000",DCLA,Bronx Charter School for the Arts,250 West 40th Street,,NY,NY,10018,,,
Cultural After School Adventure,Arroyo,"Society of Educational Arts, Inc. ",113210593,,"$20,000",DCLA,South Bronx Charter School for the International Culture and Arts,"107 Suffolk Street, Suite 202",,New York,NY,10002,,,
Cultural After School Adventure,Arroyo,Bronx Dance Theatre,132999528,,"$20,000",DCLA,PS 25 Bilingual School,585 East 187th Street,,Bronx,NY,10454,,,
Cultural After School Adventure,Arroyo,"Multicultural Music Group, Inc.",133894314,,"$20,000",DCLA,MS 223 - Laboratory School of Finance ,601 Walton Avenue,,Bronx,NY,10451,,,
Cultural After School Adventure,Arroyo,Renaissance EMS,134122438,,"$20,000",DCLA,Charles James Fox School 150,3485 Third Avenue,,Bronx,NY,10456,,,
Cultural After School Adventure,Barron,Arts East New York Inc.,270889467,,"$20,000",DCLA,East New York Family Academy,851 Hegeman Ave  ,,Brooklyn ,NY,11208,,,
Cultural After School Adventure,Barron,Man Up! Inc.,030553092,,"$20,000",DCLA,P.S.  166 George Gershwin,821(B) Van Siclen Ave.,,Brooklyn,NY,11207,,,
Cultural After School Adventure,Barron,Man Up! Inc.,030553092,,"$20,000",DCLA,M.S. 654 Van Siclen Community Middle School,821(B) Van Siclen Ave.,,Brooklyn,NY,11207,,,
Cultural After School Adventure,Barron,Purelements: An Evolution in Dance,205332584,,"$20,000",DCLA,P.S. 213 New Lots ,1958 Fulton Street,,Brooklyn,NY,11233,,,
Cultural After School Adventure,Barron,Purelements: An Evolution in Dance,205332584,,"$20,000",DCLA,P.S. 325 Fresh Creek,1958 Fulton Street,,Brooklyn,NY,11233,,,
Cultural After School Adventure,Brewer,"Kids Creative 404, Inc.",753139502,,"$20,000",DCLA,"PS191 Museum Magnet School of Inquiry, Innovation and Imagination ","32 Broadway, Suite 1801",,NY,NY,10004,,,
Cultural After School Adventure,Brewer,New York Historical Society,131624124,,"$20,000",DCLA,PS84 The Lillian Weber School,170 Central Park West,,NY,NY,10024,,,
Cultural After School Adventure,Brewer,Children's Museum of Manhattan,132761376,,"$20,000",DCLA,PS811M Mickey Mantle School,212 West 83 Street,,NY,NY,10024,,,
Cultural After School Adventure,Brewer,"Studio in a School Association, Inc.; The",133003112,,"$20,000",DCLA,PS75 The Emily Dickinson School,410 West 59 Street,,NY,NY,10019,,,
Cultural After School Adventure,Brewer,American Museum of Natural History,136162659,,"$20,000",DCLA,PS166 Richard Rodgers School of the Arts and Technology,Central Park West at 79 Street,,NY,NY,10024,,,
Cultural After School Adventure,Cabrera,"Midori Foundation, Inc.",133682472,,"$20,000",DCLA,Public School 70X,"352 Seventh Avenue, Ste. 301",,NY,NY,10001,,,
Cultural After School Adventure,Cabrera,"Dream Yard Drama Project, Inc.",133759661,,"$20,000",DCLA,PS 33X,872 Gerard Avenue,,Bronx,NY,10452,,,
Cultural After School Adventure,Cabrera,"Town Hall Foundation, Inc.",237296167,,"$20,000",DCLA,Public School 307X,123 W. 43rd St.,,NY,NY,10036,,,
Cultural After School Adventure,Cabrera,Bronx Arts Ensemble,510186869,,"$20,000",DCLA,PS 386,80 Van Cortlandt Park South Ste 7D-1,,Bronx,NY,10463,,,
Cultural After School Adventure,Cabrera,Bronx Arts Ensemble,510186869,,"$20,000",DCLA,PS 459,80 Van Cortlandt Park South Ste 7D-1,,Bronx,NY,10463,,,
Cultural After School Adventure,Chin,Abrons Arts Center at Henry Street Settlement,131562242,,"$20,000",DCLA,Henry Street for International Studies ,265 Henry Street,,NY,NY,10002,,,
Cultural After School Adventure,Chin,Shadow Box Theatre Inc,132725580,,"$20,000",DCLA,Public School 94 at 276 Spectrum School,325 W End Avenue 12B,,NY,NY,10023,,,
Cultural After School Adventure,Chin,National Dance Institute,132890779,,"$20,000",DCLA,Public School 126 Jacob Riis,217 West 147th Street,,NY,NY,10039,,,
Cultural After School Adventure,Chin,Studio in a School Association,133003112,,"$20,000",DCLA,Public School 234 Independence School,410 West 59th Street,,NY,NY,10019,,,
Cultural After School Adventure,Chin,Multicultural Music Group,133894314,,"$20,000",DCLA,"Collaborative Academy of Science, Technology, & Language-Arts Education (CASTLE)",601 Walton Avenue,,Bronx,NY,10451,,,
Cultural After School Adventure,Comrie,NY Hall of Science,112104059,,"$20,000",DCLA,PS 116Q,47-01 111th Street,,Corona,NY ,11368,,,
Cultural After School Adventure,Comrie,Muesum of the Moving Image,112730714,,"$20,000",DCLA,IS 192Q,36-01 35th Avenue,,Astoria,NY,11106,,,
Cultural After School Adventure,Comrie,Community Works,133580813,,"$20,000",DCLA,PS 140Q,55 West End Avenue,,NY,NY,10023,,,
Cultural After School Adventure,Comrie,Research Foundation of CUNY for Creative Arts Team,131988190,,"$20,000",DCLA,PS 134Q,"101 West 31st Street, 6th Floor",,NY,NY,10001,,,
Cultural After School Adventure,Comrie,Jamaica Center for Arts and Learning,112478709,,"$20,000",DCLA,IS 59Q,161-04 Jamaica Ave  ,,Jamaica,NY,11432,,,
Cultural After School Adventure,Crowley,"Queens Theatre in the Park, Inc.",113381629,,"$20,000",DCLA,Public School 153,14 United Nations Avenue South Flushing Meadows Corona Park,,Queens,NY,11368,,,
Cultural After School Adventure,Crowley,"Queens Theatre in the Park, Inc.",113381629,,"$20,000",DCLA,Sacred Heart School,14 United Nations Avenue South Flushing Meadows Corona Park,,Queens,NY,11368,,,
Cultural After School Adventure,Crowley,"Intrepid Museum Foundation, Inc",133062419,,"$20,000",DCLA,Public School 91,One Intrepid Square West 46th & 12th Avenue,,NY,NY,10036,,,
Cultural After School Adventure,Crowley,"Midtown Management Group, Inc.",133192793,,"$20,000",DCLA,PS/IS 113,"630 Ninth Avenue, Ste. 802",,NY,NY,10036,,,
Cultural After School Adventure,Crowley,"Midtown Management Group, Inc.",133192793,,"$20,000",DCLA,PS/IS 87,"630 Ninth Avenue, Ste. 802",,NY,NY,10036,,,
Cultural After School Adventure,Dickens,"Community Works, Inc.",133580813,,"$20,000",DCLA,Public School123,55 West End Avenue,,NY,NY,10023,,,
Cultural After School Adventure,Dickens,"Community Works, Inc.",133580813,,"$20,000",DCLA,Public School 241,55 West End Avenue,,NY,NY,10023,,,
Cultural After School Adventure,Dickens,"Community Works, Inc.",133580813,,"$20,000",DCLA,Public School 149,55 West End Avenue,,NY,NY,10023,,,
Cultural After School Adventure,Dickens,"Community Works, Inc.",133580813,,"$20,000",DCLA,Public School 154,55 West End Avenue,,NY,NY,10023,,,
Cultural After School Adventure,Dickens,"Midori Foundation, Inc.",133682472,,"$20,000",DCLA,Public School 180,"352 Seventh Avenue, Suite 301",,NY,NY,10001,,,
Cultural After School Adventure,Dilan,"Midtown Management Group, Inc. ",133192793,,"$20,000",DCLA,Public School 151K - Lyndon B. Johnson,"630 Ninth Avenue,Ste 802",,New York,NY,10036,,,
Cultural After School Adventure,Dilan,"Midtown Management Group, Inc. ",133192793,,"$20,000",DCLA,Public School 45,"630 Ninth Avenue,Ste 802",,New York,NY,10036,,,
Cultural After School Adventure,Dilan,"Community Works, Inc. ",133580813,,"$20,000",DCLA,Public School 86K,55 West End Avenue,,New York,NY,10023,,,
Cultural After School Adventure,Dilan,"Midori Foundation, Inc. ",133682472,,"$20,000",DCLA,Public School 65K - Cesiah Toro Mullane School,"352 Seventh Avenue, Ste 301",,New York,NY,10001,,,
Cultural After School Adventure,Dilan,"Brooklyn Arts Council, Inc. ",237072915,,"$20,000",DCLA,Public School 376K,55 Washington Avenue,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Dromm,Museum of the Moving Image,112730714,,"$20,000",DCLA,Intermdediate School 145,36-01 35th Avenue,,Astoria,NY,11106,,,
Cultural After School Adventure,Dromm,Queens College Foundation For Kupferberg Center Performances,116080521,,"$20,000",DCLA,Public School 212,65-30 Kissena Boulevard,,Flushing,NY,11367,,,
Cultural After School Adventure,Dromm,"Midtown Management Group, Inc.",133192793,,"$20,000",DCLA,Public School 69,630 9th Avenue Ste. 802,,NY,NY,10036,,,
Cultural After School Adventure,Dromm,Children's Museum of the Arts,133520970,,"$20,000",DCLA,Renaissance Charter School,182 Lafayette Street,,NY,NY,10013,,,
Cultural After School Adventure,Dromm,Amigos Del Museo del Barrio,237156720,,"$20,000",DCLA,Public School 222,1230 5th Avenue,,NY,NY,10029,,,
Cultural After School Adventure,Eugene,Brooklyn Conservatory of Music,111532426,,"$20,000",DCLA,P.S. 217 ,58 Seventh Avenue,,Brooklyn,NY,11217,,,
Cultural After School Adventure,Eugene,"Creative Outlet Dance Theatre of Brooklyn, Inc.",113307755,,$0,DCLA,P.S. 6,"81 Hanson Place, Suite 303",,Brooklyn,NY,11218,,,
Cultural After School Adventure,Eugene,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,P.S. 245,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Eugene,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,P.S. 399,"56 Washington Street, Suite 218",,Brooklyn,NY,11202,,,
Cultural After School Adventure,Eugene,Research Foundation of CUNY for Creative Arts Team,131988190,,"$20,000",DCLA,Public School 397K,"101 West 31st Street, 6th Floor",,New York,NY,10001,,,
Cultural After School Adventure,Ferreras,"Queens Theatre In The Park, Inc.",113381629,,"$20,000",DCLA,Public School 127 Aerospace Science Magnet Academy,14 United Nations Avenue South,,Corona ,NY,11368,,,
Cultural After School Adventure,Ferreras,"Queens Theatre In The Park, Inc.",113381629,,"$20,000",DCLA,Public School 92 Harry T. Stewart Sr. School.,14 United Nations Avenue South,,Corona ,NY,11368,,,
Cultural After School Adventure,Ferreras,Louis Amstrong House,264178283,,"$20,000",DCLA,Public School 143,34-56 107th Street,,Corona ,NY,11368,,,
Cultural After School Adventure,Ferreras,Louis Amstrong House,264178283,,"$20,000",DCLA,Intermediate School 61 Leonardo Da Vinci IS,34-56 107th Street,,Corona ,NY,11368,,,
Cultural After School Adventure,Ferreras,"Corona Youth Music Project, Inc.",454330826,,"$20,000",DCLA,Public School 19,,,,,,,,
Cultural After School Adventure,Fidler,Brooklyn Historical Society,111630813,,"$20,000",DCLA,Public School 276,128 Pierrepont Street,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Fidler,Brooklyn Historical Society,111630813,,"$20,000",DCLA,Public School 312,128 Pierrepont Street,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Fidler,"Brooklyn Philharmonic Orchestra, Inc",111773636,,"$20,000",DCLA,Public School 194,55 Washington Street,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Fidler,Brooklyn Arts Council,237072915,,"$20,000",DCLA,Public School 277,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Fidler,Brooklyn Arts Council,237072915,,"$20,000",DCLA,Public School 52,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Foster,After-School Program.Bronx Museum of the Arts,132709368,,"$20,000",DCLA,PS 73,1040 Grand Concourse,,Bronx,NY,10456,,,
Cultural After School Adventure,Foster,Woodycrest Center for Human Development,133184179,,"$20,000",DCLA,PS 126,153 West 165th Street,,Bronx,NY,10452,,,
Cultural After School Adventure,Foster,City Parks Foundation,133561657,,"$20,000",DCLA,Morris High School,830 Fifth Avenue,,New York,NY,10065,,,
Cultural After School Adventure,Foster,DreamYard,133759661,,"$20,000",DCLA,DreamYard Preparatory (x329),1085 Washington Avenue,,Bronx,NY,10456,,,
Cultural After School Adventure,Foster,Bronx Children's Museum,260579140,,"$20,000",DCLA,PS 55,PO Box 1381,,Bronx,NY,10451,,,
Cultural After School Adventure,Garodnick,"National Dance Institute, Inc.",132890779,,"$20,000",DCLA,Public School 40, 217 West 147 St,,NY,NY,10039,,,
Cultural After School Adventure,Garodnick,"Arts Connection, Inc.",132953240,,"$20,000",DCLA,Public School 59,"520 Eighth Avenue, Suite 321",,NY,NY,10018,,,
Cultural After School Adventure,Garodnick,"Midtown Management Group, Inc",133192793,,"$20,000",DCLA,Public School 77 (Lower Lab School),630 9th Ave # 802,,NY,NY,10036,,,
Cultural After School Adventure,Garodnick,Children's Museum of the Arts,133520970,,"$20,000",DCLA,Public School 116,103 Charlton St.,,NY,NY,10014,,,
Cultural After School Adventure,Garodnick,Solomon R. Guggenheim Foundation,135562233,,"$20,000",DCLA,Public School 6,1071 Fifth Avenue,,NY,NY,10128,,,
Cultural After School Adventure,Gennaro,"Young Audiences New York, Inc.",131997754,,"$20,000",DCLA,PS 182 Q,One East 53rd Street,,NY,NY,10022,,,
Cultural After School Adventure,Gennaro,"Intrepid Museum Foundation, Inc.",133062419,,"$20,000",DCLA,JHS 217 Q,One Intrepid Square (12th Avenue & West 46th Street),,NY,NY,10036,,,
Cultural After School Adventure,Gennaro,"Midtown Management Group, Inc.",133192793,,"$20,000",DCLA,PS 164 Q,"630 Ninth Avenue, Ste. 802",,NY,NY,10036,,,
Cultural After School Adventure,Gennaro,Research Foundation of CUNY for Creative Arts Team,131988190,,"$20,000",DCLA,PS 117 Q,"101 West 31st Street, 6th Floor",,NY,NY,10001,,,
Cultural After School Adventure,Gennaro,Queens College Foundation For Kupferberg Center Performances,116080521,,"$20,000",DCLA,PS 131 Q,65-30 Kissena Boulevard,,Flushing,NY,11367,,,
Cultural After School Adventure,Gentile,"St. Rosalia-Regina Pacis Neighborhood Improvement Assoc., Inc.",112697931,,"$20,000",DCLA,"Public School 112, Lefferts Park School",6614 11th Avenue,,Brooklyn,NY,11219,,,
Cultural After School Adventure,Gentile,"Intrepid Museum Foundation, Inc.",133062419,,"$20,000",DCLA,"Public School 185, Walter Kassenbrock School",One Intrepid Square,,NY,NY,10036,,,
Cultural After School Adventure,Gentile,"Midtown Management Group, Inc.",133192793,,"$20,000",DCLA,"Public School 102, Bayview School","630 Ninth Avenue, Ste. 802",,NY,NY,10036,,,
Cultural After School Adventure,Gentile,"Midori Foundation, Inc.",133682472,,"$20,000",DCLA,"Public School 163, Bath Beach School","352 Seventh Avenue, Ste. 301",,NY,NY,10001,,,
Cultural After School Adventure,Gentile,Brooklyn Arts Council,237072915,,"$20,000",DCLA,"Public School 104, Fort Hamilton School","55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Gonzalez,"Green-Wood Historic Fund, Inc.",113450678,,"$20,000",DCLA,Public School 94,500 25th Street,,Brooklyn,NY,11232,,,
Cultural After School Adventure,Gonzalez,"National Dance Institute, Inc.",132890779,,"$20,000",DCLA,Public School 10,217 West 147th Street,,NY,NY,10039,,,
Cultural After School Adventure,Gonzalez,"Dance Theatre Etcetera, Inc.",133015965,,"$20,000",DCLA,Public School 15,480 Van Brunt Street,,Brooklyn,NY,11231,,,
Cultural After School Adventure,Gonzalez,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,Public School 295,55 Washington Street,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Gonzalez,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,Public School 169,55 Washington Street,,Brooklyn,NY,11201,,,
Cultural After School Adventure,Greenfield,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,PS 99 (Isaac Asimov School),"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Greenfield,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,PS 192,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Greenfield,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,IS 96,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Greenfield,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,St. Athanasius School,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,Greenfield,"Brooklyn Arts Council, Inc.",237072915,,"$20,000",DCLA,Public School 180 - The SEEALL Academy,"55 Washington Street, Suite 218",,Brooklyn,NY,11201,,,
Cultural After School Adventure,CD19,Conrad Poppenhusen Association,111633524,,"$20,000",DCLA,PS 29,P.O. Box 91,,College Point,NY,11356,,,
Cultural After School Adventure,CD19,Flushing Council on Culture and the Arts,112652182,,"$20,000",DCLA,IS 25 - Adrien Block,137-35 Northern Boulevard ,,Flushing,NY,11354,,,
Cultural After School Adventure,CD19,"Queens Theatre in the Park, Inc.",113381629,,"$20,000",DCLA,PS 130 Q,14 United Nations Avenue South,,Flushing Meadows Corona Park,NY,11368,,,
Cultural After School Adventure,CD19,Bayside Historical Society,116049457,,"$20,000",DCLA,JHS 194,208 Totten Avenue,,Bayside,NY,11359,,,
Cultural After School Adventure,CD19,Queens College Foundation For Kupferberg Center Performances,116080521,,"$20,000",DCLA,PS 129 Q,65-30 Kissena Boulevard,,Flushing,NY,11367,,,
Cultural After School Adventure,Ignizio,"Intrepid Museum Foundation, Inc.",133062419,,"$20,000",DCLA,I.S. 75,One Intrepid Square,,NY,NY,10036,,,
Cultural After School Adventure,Ignizio,Multicultural Music Group Inc.,133894314,,"$20,000",DCLA,IS 7,601 Walton Avenue ,,BX,NY,10451,,,
Cultural After School Adventure,ignizio,"Roundabout Theatre Company, Inc.",136192346,,"$20,000",DCLA,Totten Intermediate Scool 34,"231 West 39th Street, Ste. 1200",,NY,NY,10018,,,
Cultural After School Adventure,Ignizio,New York Hall of Science,112104059,,"$20,000",DCLA,I.S. 72,47-01 111th Street ,,Corona,NY,11368,,,
Cultural After School Adventure,Ignizio ,Intrepid air and space museum,133062419,,"$20,000",DCLA,I.S. 24R,W 46th street & 12th avenue,,NY,NY,10036,,,
Cultural After School Adventure,Jackson,"Alvin Ailey Dance Foundation, Inc.",132584273,,"$20,000",DCLA, MS 326 (Writer Today & LeadersTomorrow,405 West 55th Street ,,NY,NY,10019,,,
Cultural After School Adventure,Jackson,"TADA! Theater and Dance Alliance, Inc. ",133311294,,"$20,000",DCLA, M.S. 368 (Hamilton Heights School),15 West 28th Street,,NY,NY,10001,,,
Cultural After School Adventure,Jackson,"TADA! Theater and Dance Alliance, Inc. ",133311294,,"$20,000",DCLA,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,15 West 28th Street,,NY,NY,10001,,,
Cultural After School Adventure,Jackson,"Community Works, Inc ",133580813,,"$20,000",DCLA, P.S. 129 (John H. Finley),55 West End Ave #1,,NY,NY,10023,,,
